date,Throughput_Dubai
2019-01-31,6.419793648306399
2019-02-28,6.945525517348521
2019-03-31,7.54531860921774
2019-04-30,7.084090763393248
2019-05-31,7.105323689753899
2019-06-30,8.679230854599554
2019-07-31,9.35938894873608
2019-08-31,8.502303452325437
2019-09-30,8.756039417413097
2019-10-31,10.030020794744342
2019-11-30,11.93119118934468
2019-12-31,13.163268535973263
2020-01-31,14.096541859587001
2020-02-29,12.21291718143892
2020-03-31,13.191218316515176
2020-04-30,15.559614721317113
2020-05-31,16.310244120913072
2020-06-30,34.80748081431825
2020-07-31,32.9625834031439
2020-08-31,28.882775491101434
2020-09-30,27.86867683889233
2020-10-31,27.60477935815148
2020-11-30,28.66588793159346
2020-12-31,33.88652225758795
2021-01-31,29.316529691611713
2021-02-28,30.582232167704664
2021-03-31,28.784450011632558
2021-04-30,29.90387512891191
2021-05-31,35.25189298041083
2021-06-30,29.089386037046065
2021-07-31,36.35351079691526
2021-08-31,30.27375953643403
2021-09-30,29.989422582372534
2021-10-31,30.67905089515059
2021-11-30,37.45945239894644
2021-12-31,41.72446172818683
2022-01-31,30.434557346076076
2022-02-28,27.198175927047124
2022-03-31,30.28240606161273
2022-04-30,33.13623262239352
2022-05-31,34.09190692009779
2022-06-30,21.084759533405165
2022-07-31,23.816478453311277
2022-08-31,22.479332151216337
2022-09-30,23.774687239893677
2022-10-31,19.652535375015823
2022-11-30,25.150851775653592
2022-12-31,27.75273994204354
2023-01-31,29.47396199800297
2023-02-28,21.272317291790596
2023-03-31,36.919302422577616
2023-04-30,39.549029238302396
2023-05-31,35.79456026840472
2023-06-30,35.09514332104282
2023-07-31,33.28425140596182
2023-08-31,34.66135380036301
2023-09-30,33.528819215180825
2023-10-31,31.513999019346688
2023-11-30,35.42892132776766
2023-12-31,39.16387077262709
2024-01-31,44.555087921467134
2024-02-29,45.33654126962339
2024-03-31,50.205733380994516
2024-04-30,52.37858880658212
2024-05-31,53.62626221935828
2024-06-30,47.12998263281077
2024-07-31,46.22634959730738
2024-08-31,46.515250261330124
2024-09-30,45.03866904828362
2024-10-31,47.53345148875736
2024-11-30,51.301442722321
2024-12-31,52.832254322584234
