date,Throughput_Kuwaitcity
2019-01-31,3.2680151223839395
2019-02-28,5.076622023264014
2019-03-31,6.20154262605429
2019-04-30,8.20425421833058
2019-05-31,7.977519936985799
2019-06-30,7.725719227524123
2019-07-31,9.007722499077321
2019-08-31,10.007405619916778
2019-09-30,8.468121574388562
2019-10-31,8.134635179950655
2019-11-30,13.125382509066586
2019-12-31,15.190446416250953
2020-01-31,13.580507212528536
2020-02-29,15.153354922914415
2020-03-31,12.335325785450184
2020-04-30,14.038118980169651
2020-05-31,14.648899376924241
2020-06-30,15.282676219067127
2020-07-31,15.955960414573834
2020-08-31,18.517494688652143
2020-09-30,18.726344075345946
2020-10-31,19.56053048259828
2020-11-30,17.25693109117955
2020-12-31,17.4457139448325
2021-01-31,17.635351842061784
2021-02-28,18.20386897627062
2021-03-31,15.844524772427548
2021-04-30,19.43345161004741
2021-05-31,20.039120772125234
2021-06-30,23.47024628640891
2021-07-31,26.797450036907243
2021-08-31,25.09055416872969
2021-09-30,23.717218802650894
2021-10-31,29.3821708879784
2021-11-30,32.89542868321688
2021-12-31,32.83762123731592
2022-01-31,27.941878300021653
2022-02-28,32.44342648746368
2022-03-31,33.87258419918594
2022-04-30,35.35882484365371
2022-05-31,43.057922223282915
2022-06-30,41.79097088020311
2022-07-31,48.24538936586303
2022-08-31,43.159424210153055
2022-09-30,35.834777232556576
2022-10-31,37.27483862689216
2022-11-30,44.76378557616737
2022-12-31,50.81305683390309
2023-01-31,48.15618567456236
2023-02-28,42.84141438309096
2023-03-31,37.011808434393714
2023-04-30,35.73204188357053
2023-05-31,32.852232368652956
2023-06-30,37.9359062302244
2023-07-31,41.87345875505682
2023-08-31,40.20475031202641
2023-09-30,42.635204918329904
2023-10-31,48.16469276047673
2023-11-30,50.652363380974876
2023-12-31,51.72739349511984
2024-01-31,65.98911440379896
2024-02-29,56.204658024463335
2024-03-31,64.42406685299288
2024-04-30,69.54254330327859
2024-05-31,81.64602934303768
2024-06-30,75.17514423567874
2024-07-31,73.88829131785742
2024-08-31,73.17816712089054
2024-09-30,60.44635550867452
2024-10-31,65.05915878709295
2024-11-30,63.22708176782287
2024-12-31,69.57674873751056
